item_id,question,search_plan,correct_answer,reference_passages
item_017,What is the honour system founded by Napoleon in 1802 that has five classes including Grand Cross and Officer?,"1. Identify the honor system established by Napoleon in 1802 with five classes, including Grand Cross and Officer","Legion of Honor, Chevalier de la Legion d'honneur, Officier de la Légion d'honneur, Officer of the National Order of the Legion of Honour, Chevalier de la Légion d'Honneur, Legion of Honor of France, Chevalier de Légion d'honneur, Chevalier de La Légion d'Honneur, Chevalier of the Legion of Honor, Commander of the Legion of Honour, French Legion of Honour, Chevalier of the Légion d'honneur, Officer of the Legion of Honour (France), Chevalier de la Légion d'honneur, Légion d'honneur, Commandant of the Legion, Officer of the Legion of Honour, Ordre national de la Legion d'honneur, French Légion d’Honneur, Cross of the Legion of Honor, Légion d'honneur Croix de Commandeur, Croix d'Officier of the Legion of Honour, The Legion of Honor, Grand Croix of the Légion d'honneur, Knight of the National Order of the Legion of Honour, Chevalier de Legion d'Honneur, Chevalier of the Order of the Légion d'honneur, Legie d'honeur, Légion d'honneur de France, Commander of the Legion of Honor, Grand Cross of the Legion of Honor, Légion d’honneur, Commandeur de la Legion d'honneur, Grand-Croix de la Légion d'honneur, Chevalier de la légion d'honneur, French Legion of Honor, Grand Croix de la Légion d'honneur, National Order of the Legion of Honour, Knight of the Legion of Honor, Légion d´honneur, Officier de la Legion d'honneur, Grand Croix de la Legion d'honneur, Knight of the Legion of Honour, French Légion d'honneur, Legion of Honor Chevalier, Grand Order of the Legion of Honour, Officer of the Legion of Honor, Legion d'Honneur, Grand Cross of the Legion of Honour, French Legion Of Honour, Chevalier de la Legion d'Honneur, Chevalier dans l'Ordre de la Legion d'Honneur, Légion d’Honneur, Grand-Croix de la Legion d'honneur, Legion of honour, Cross of the Légion d'honneur, Chevalier de la Légion d’Honneur, Legion d’Honneur, Legion d'Honour, Legion of honor, Chevalier of the Legion of Honour, Officier de la Légion d'Honneur, Chevalier de Legion d'honneur, Legion d'honeur, Légion d'Honneur, National Order of the Legion of Honor, Legion d'honneur Croix de Commandeur, Legion d'honneur, Grand Cordon of the Legion of Honor, Ordre national de la Légion d'honneur, French legion of honor, Grand Cordon of the Legion of Honour, Chevalier dans l'Ordre de la Légion d'Honneur, Commandeur de la Légion d'honneur, Legion of Honour, LoH",
item_018,Do both Kitchens of Distinction and Transvision Vamp have female lead singers?,1. Find the lead singer(s) of the band Kitchens of Distinction | 2. Find the lead singer(s) of the band Transvision Vamp | 3. Determine whether both bands have female lead singers based on the identified lead singers' genders,no,"[Kitchens of Distinction]  They released four studio albums and a handful of singles and EPs before disbanding in 1996.  In September 2012, Patrick Fitzgerald announced on his Stephen Hero Facebook page that he, along with original members Julian Swales and Dan Goodwin, were working on new material as Kitchens of Distinction.  The reunited trio released their fifth studio album, their first since 1994, in late September 2013. | [Transvision Vamp]  Formed in 1986 by Nick Christian Sayer and Wendy James, the band enjoyed chart success in the late 1980s with their pop/punk sound.  James, the lead singer and focal-point of the group, attracted media attention with her sexually charged and rebellious image."
item_019,who popularized the definition of privacy as the right to be free from intrusion,1. Identify the individual who popularized the definition of privacy as the right to be free from intrusion,Samuel Warren and Louis Brandeis,"[The Right to Privacy (article)] 193 ( Dec. 15 , 1890 ) ) is a law review article written by Samuel Warren and Louis Brandeis , and published in the 1890 Harvard Law Review . It is `` one of the most influential essays in the history of American law '' and is widely regarded as the first publication in the United States to advocate a right to privacy , articulating that right primarily as a `` right to be let alone '' ."
item_020,"Where did the composer of song Arise, Russian People! study?","1. Identify the composer of the song 'Arise, Russian People!' | 2. Find the composer's educational background, specifically where they studied music or composition, to determine the institution they attended and its location or country affiliation.","Leningrad Conservatory, Saint Petersburg Conservatory, Saint Petersburg State Conservatory named after N.A. Rimsky-Korsakov, N. A. Rimsky-Korsakov Saint Petersburg State Conservatory",
item_021,The home row for what keyboard layout is (from left to right) aoeuidhtbs-?,1. Determine the keyboard layout whose home row is (from left to right) aoeuidhtbs-,"Dvorzak, Dworschak, Dvorschak, Dvorschák, Dworak, Dvořáková, Dvořák (disambiguation), Dvorakova, DVORAK, Dworzak, Dvorak (disambiguation), Dvorak, Dvoržak",
item_022,Who was Bridget Jones's true love?,1. Determine the true love of Bridget Jones from the book or film series.,"Mark Darcy, Bridget Jones (film series), Bridgett Jones, Bridget Jones, Briget jones",
item_023,What is the direction of the flow of the river near the city where the designer of Southeast Library died?,1. Identify the city where the designer of the Southeast Library died | 2. Find the river that flows near that city | 3. Determine the direction of the river’s flow near that city from a reliable source on the river’s course and flow direction in that area,rises in northern Minnesota and meanders slowly southwards,"[Southeast Library] Southeast Library's building was designed by master architect Ralph Rapson and originally functioned as a credit union for university and state employees. It opened as a library in 1967. | [Riverside Plaza] Riverside Plaza is a modernist and brutalist apartment complex designed by Ralph Rapson that opened in Minneapolis, Minnesota in 1973. Situated on the edge of downtown Minneapolis in the Cedar-Riverside neighborhood, and next to both the University of Minnesota's West Bank and Augsburg University, the site contains the 39-story McKnight Building, the tallest structure outside of the city's central business district. | [Minneapolis] Minneapolis lies on both banks of the Mississippi River, just north of the river's confluence with the Minnesota River, and adjoins Saint Paul, the state's capital. The city is abundantly rich in water, with 13 lakes, wetlands, the Mississippi River, creeks and waterfalls; many connected by parkways in the Chain of Lakes and the Grand Rounds National Scenic Byway. | [Mississippi River] The Mississippi River is the chief river of the second - largest drainage system on the North American continent, second only to the Hudson Bay drainage system. Flowing entirely in the United States (although its drainage basin reaches into Canada), it rises in northern Minnesota and meanders slowly southwards for 2,320 miles (3,730 km) to the Mississippi River Delta at the Gulf of Mexico. With its many tributaries, the Mississippi's watershed drains all or parts of 31 U.S."
item_024,"In the human body, what is stored in adipose tissue?",1. Determine what is stored in adipose tissue within the human body,"Fattyness, Fatty oil, Dietary fats, Fat, Total fat, Dietary fat, Fats and oils",
item_025,Who was the first leader of the Russian Federation ?,1. Determine the first leader of the Russian Federation,"Boris El’cin, Boris Eľcin, Boris yeltsin, Boris Jelzin, Yelstin, Yeltsin, Boris Nikolayevich, Boris Ieltsin, BORIS YELTSIN, Yeltzin, Boris Nikolaevich Yeltsin, Boris Eltsin, Boris yeltson, Boris El'cin, Yelcin, Jelzin, Бори́с Никола́евич Е́льцин, Boris Yeltsin, Jeltsin, Boris Nikolayevich Yeltsin, Борис Николаевич Ельцин, Boris Jel'cin, Jelcin, Borys Yeltsin, Jel'cin, Borris Yeltsin, Boris Yeltzin, Boris Jelcin, Boris N. Yeltsin, Yeltsin, Бори́с Е́льцин, Boris Jeltsin, Yeltsin, Boris, Boris Yeltsen, Borris Yeltzin, Boris Nikolaevič Jelcin, Eltsin, Boris Nikolajevič Jelcin, Boris N Yeltsin, Борис Ельцин, Naina Iosifovna Yeltsin, Boris Nikolajevic Jelcin, Boris Nikolaevic Jelcin, Boris Elcin, El'cin",
item_026,The 2012 best selling book 'My Animals and Other Family' is written by whom?,1. Identify the author of the 2012 best-selling book 'My Animals and Other Family',"Clare Balding, Claire Balding, The Clare Balding Show, Good Morning Sunday, CLARE BALDING",
item_027,"Which tennis player is older, Albert Costa or Tímea Babos?",1. Find Albert Costa’s date of birth | 2. Find Tímea Babos’s date of birth | 3. Compare the two dates to determine who is older,Costa,"[Albert Costa] Costa began playing tennis at the age of five.  He first came to the tennis world's attention as an outstanding junior player.  In 1993, he reached the French Open junior final and won the Orange Bowl.  He turned professional later that year and quickly established a reputation as a strong clay court player. | [Tímea Babos] Tímea Babos (] ; born 10 May 1993) is a Hungarian tennis player."
item_028,Who is the maternal grandfather of Eysteinn?,"1. Find Eysteinn’s maternal grandfather by identifying his mother’s parents | 2. Determine the name of Eysteinn’s mother | 3. Identify the names of Eysteinn’s maternal grandparents from a reliable biographical source on Eysteinn | 4. From the maternal grandparents’ names, determine the maternal grandfather’s name and his country of origin or nationality from a biographical source on that person",Halga,
item_029,"What was the christian name of the daughter of William Dorrit, known as Little Dorrit in the 1857 novel of the same name by Charles Dickens?","1. Identify the Christian name of the daughter of William Dorrit, known as Little Dorrit in the 1857 novel by Charles Dickens.","AMY, Amy (disambiguation), Amy (film)",
item_030,who created the second bank of the united states,1. Determine the creator of the Second Bank of the United States,chartered by President James Madison,"[Second Bank of the United States] Modeled on Alexander Hamilton 's First Bank of the United States , the Second Bank was chartered by President James Madison in 1816 and began operations at its main branch in Philadelphia on January 7 , 1817 , managing twenty - five branch offices nationwide by 1832 ."
item_031,When did the luxury division of the top selling car brand change the body style of the rx 350?,1. Identify the luxury division of the top-selling car brand that sells the RX 350 | 2. Find the year the RX 350 body style was changed by that luxury division of the top-selling car brand (the luxury division of the top-selling car brand is Lexus),Sales began worldwide in April 2012,"[List of best-selling automobiles] As a result, there is no definitive standard for measuring units sold; Volkswagen has claimed its Beetle as the bestselling car in history as it did not substantially change throughout its production run. By contrast, Toyota has applied the Corolla nameplate to 11 generations since 1966, which have sold over 40 million through July 2013. | [1973 oil crisis] Some buyers lamented the small size of the first Japanese compacts, and both Toyota and Nissan (then known as Datsun) introduced larger cars such as the Toyota Corona Mark II, the Toyota Cressida, the Mazda 616 and Datsun 810, which added passenger space and amenities such as air conditioning, power steering, AM-FM radios, and even power windows and central locking without increasing the price of the vehicle. A decade after the 1973 oil crisis, Honda, Toyota and Nissan, affected by the 1981 voluntary export restraints, opened US assembly plants and established their luxury divisions (Acura, Lexus and Infiniti, respectively) to distinguish themselves from their mass-market brands. | [Lexus RX] In the US, the new model uses the Lexus Enform telematics system, which includes the Safety Connect SOS system and Shazam tagging. Sales began worldwide in April 2012 for the RX 350 and RX 450h, with sales for the F - Sport variants starting in July of the same year."
item_032,Who is the son of the Italian navigator who explored the eastern coast of the continent Ulises Solís' birthplace is located in for England?,1. Identify the birthplace of Ulises Solís as described in the question | 2. Determine the Italian navigator associated with that birthplace and his son’s name from a reliable biographical source on Ulises Solís and his father’s background in England and Italy,Sebastian Cabot,"[Ulises Solís] José Ulises Solís Perez (born August 28, 1981 in Guadalajara, Jalisco, Mexico) is a Mexican professional boxer and is the current IBF light Flyweight champion. He recently got into a street fight with light middleweight champ Saul Alvarez and had his jaw broken. | [Paula Santiago] Paula Santiago (born 1969 in Guadalajara) is a Mexican mixed media artist whose works have been displayed at the Monterrey Museum of Modern Art and several galleries in Europe and North America. Most of her work stands out by being made with her own blood and hair. | [John Cabot] John Cabot (Italian: Giovanni Caboto; c. 1450 -- c. | [Sebastian Cabot (explorer)] Sebastian Cabot (Italian and , ; , ""Gaboto"" or ""Cabot""; 1474 – December 1557) was an Italian explorer, likely born in the Venetian Republic. He was the son of Italian explorer John Cabot (Giovanni Caboto) and his Venetian wife Mattea."
item_033,Who is Konrad Iii The Old's paternal grandfather?,1. Find Konrad III the Old’s family tree to identify his paternal grandfather | 2. Retrieve the name of Konrad III the Old’s paternal grandfather from a reliable biographical source on Konrad III the Old or his family history,Konrad I of Oleśnica,
item_034,In what country is Edmund S. Muskie Graduate Fellowship Program?,1. Determine the country associated with the Edmund S. Muskie Graduate Fellowship Program,"United States of America, the United States of America, America, U.S.A., USA, U.S., US, the US, the USA, US of A, the United States, U. S. A., U. S., the States, the U.S., 'Merica, U.S, United States, 'Murica",
item_035,The dotterel belongs to which family of birds?,1. Determine the bird family to which the dotterel belongs,"Plover, Charadriinae, Dotterels, Plovers, Sandplover, Plivver",
item_036,as per the census of india india is made up of how many districts,1. Determine the number of districts in India as per the latest Census of India.,640,"[List of districts in India] In some cases districts are further subdivided into sub-divisions , and in others directly into tehsils or talukas . As of 2016 there are a total of 707 districts , up from the 640 in the 2011 Census of India and the 593 recorded in the 2001 Census of India ."
item_037,How many players are on the field in a baseball team?,1. Determine the number of players on the field for a baseball team.,"9, nine, Nine",
item_038,who was killed at the st valentine day massacre,1. Determine who was killed in the St. Valentine's Day Massacre,Peter Gusenberg,"[Saint Valentine's Day Massacre] Peter Gusenberg , a frontline enforcer for the Moran organizations . Frank Gusenberg , the brother of Peter Gusenberg and also an enforcer ."
item_039,The country name for which bird is the 'rud' or ruddock,1. Determine the country for which the 'rud' or ruddock is the national bird,"Robin (disambiguation), Robin, Robin (bird)",
item_040,What is the capital of the county that shares a border with the county where WAPL is licensed to broadcast?,"1. Determine the county where WAPL is licensed to broadcast | 2. Identify the neighboring county that shares a border with that county | 3. Find the capital of that neighboring county from a reliable source (e.g., a county profile or encyclopedic entry)",Green Bay,"[WAPL] WAPL (105.7 FM) is a classic rock formatted radio station licensed to Appleton, Wisconsin, that serves the Green Bay and Appleton-Oshkosh areas. The station is owned by Woodward Communications, and has studios on College Avenue in Appleton, with transmitting facilities located near the WGBA Tower west of unincorporated Shirley in the Town of Glenmore in southeastern Brown County. | [John C. Petersen] John C. Petersen (November 2, 1842 – July 10, 1887) was an American butcher and farmer from Appleton, Wisconsin who served as a member of the Wisconsin State Assembly from Outagamie County. He was elected in 1878 as a Greenbacker, and was re-elected the next year as a ""Greenback Democrat"" (even though he was opposed by a Democrat). | [Pulaski High School] Pulaski High School is a public high school in Pulaski, Wisconsin, in Brown County, Wisconsin (school district also serves parts of Shawano, Outagamie and Oconto counties), that serves students in grades 9 through 12. Its mascot is the Red Raider. | [Jerome Quinn] Born in Green Bay, Wisconsin, Quinn was a realtor and served on the Green Bay Common Council, the Brown County, Wisconsin Board of Supervisors, the local Board of Education, and the Wisconsin State Assembly from 1955 until 1973. He was a Republican."
item_041,what were the highest winds in hurricane harvey,1. Determine the highest wind speeds recorded during Hurricane Harvey,Rockport,"[Hurricane Harvey] Further deepening occurred as the storm approached the coast of Texas , with Harvey becoming a Category 4 hurricane at 23 : 00 UTC , based on reconnaissance aircraft data . Around 03 : 00 UTC on August 26 , the hurricane made landfall at peak intensity at Rockport with winds of 130 mph ( 215 km / h ) and an atmospheric pressure of 938 mbar ( 27.7 inHg ) . Harvey became the first major hurricane to make landfall in the United States since Wilma in 2005 and the strongest in terms of wind speed to hit the country since Charley in 2004 ."
item_042,when does the steelers play their first game,1. Determine the date of the Steelers' first game,"September 20, 1933","[Pittsburgh Steelers] The Pittsburgh Steelers of the NFL first took to the field as the Pittsburgh Pirates on September 20 , 1933 , losing 23 -- 2 to the New York Giants . Through the 1930s , the Pirates never finished higher than second place in their division , or with a record better than ."
item_043,when does lay a way start at walmart,"1. Determine the start date of Lay's ""A Way"" campaign at Walmart",late summer,"[Walmart] This enables walmart.com customers to buy goods online with a free shipping option , and have goods shipped to the nearest store for pickup . Walmart continues to offer seasonal Layaway on select categories from late summer through early Christmas and year - round in their jewelry department ."
item_044,Did Rubert Holmes write Escape?,1. Find the credited writers of the film 'Escape' (1985) | 2. Check whether 'Rubert Holmes' is among the listed writers of 'Escape' (1985) or any other film titled 'Escape' to avoid confusion with other films of the same name and year if applicable.,hit singles,"[Rupert Holmes] Rupert Holmes (born David Goldstein on February 24, 1947) is a British-American composer, singer-songwriter, musician, dramatist and author.  He is widely known for the hit singles ""Escape (The Piña Colada Song)"" (1979) and ""Him"" (1980).  He is also known for his musicals ""Drood"", which earned him two Tony Awards, and ""Curtains"", and for his television series ""Remember WENN"". | [Escape (The Piña Colada Song)] ""Escape (The Piña Colada Song)"" is a song written and recorded by British-born American singer Rupert Holmes for his album ""Partners in Crime"".  As the lead single for the album, the pop song was recommended by ""Billboard"" for radio broadcasters on September 29, 1979, then added to prominent US radio playlists in October–November."
item_045,who was the first emcee of wheel of fortune,"1. Determine the first emcee of the television game show ""Wheel of Fortune""",Chuck Woolery,"[Wheel of Fortune (U.S. game show)] The original host of Wheel of Fortune was Chuck Woolery , who hosted the series from its 1975 premiere until December 25 , 1981 , save for one week in August 1980 when Alex Trebek hosted in his place . Woolery 's departure came over a salary dispute with show creator Merv Griffin , and his contract was not renewed ."
item_046,the form of chronic inflammatory bowel disease affecting the ileum and/or colon is,1. Identify the form of chronic inflammatory bowel disease that affects the ileum and/or colon,Inflammatory bowel disease,[Inflammatory bowel disease] Inflammatory bowel disease ( IBD ) is a group of inflammatory conditions of the colon and small intestine . Crohn 's disease and ulcerative colitis are the principal types of inflammatory bowel disease .
item_047,"Who lived longer, Olivier Long or Robert Ernest Cheesman?",1. Find the birth and death dates of Olivier Long | 2. Find the birth and death dates of Robert Ernest Cheesman | 3. Compare their lifespans to determine who lived longer,Olivier Long,
item_048,Who is the father of Dub?,1. Determine the father of the person known as Dub.,Malcolm I of Scotland,
item_049,who is the notre dame cathedral dedicated to,1. Determine the individual or entity to whom Notre Dame Cathedral is dedicated,"to the Cult of Reason, and then to the Cult of the Supreme Being","[Notre-Dame de Paris] In 1793 , during the French Revolution , the cathedral was rededicated to the Cult of Reason , and then to the Cult of the Supreme Being . During this time , many of the treasures of the cathedral were either destroyed or plundered ."
item_050,How many ethnic minorities were looked at differently where the only group larger than the record label of The Lost Trident Sessions is headquartered?,"1. Identify the record label of The Lost Trident Sessions and determine the country where it is headquartered | 2. Find the number of ethnic minorities that were looked at differently in that country, as reported in relevant demographic sources for that country and year of the record label's headquarters location (2001)",two,"[The Lost Trident Sessions] The Lost Trident Sessions is a studio album by jazz fusion group the Mahavishnu Orchestra, released on 21 September 1999 through Sony Music Entertainment. It was originally recorded in June 1973 at Trident Studios but was not released until 26 years later. | [Sony Music] In 1987, Sony Corporation of Japan bought the company, and in 1991, renamed it SME. It is the world's second largest recorded music company, after Universal Music Group. | [The Right Stuff Records] The Right Stuff Records is a reissue record label that was part of EMI, which is now owned by Universal Music Group and is based out of Santa Monica, California. | [Santa Monica, California] A Japanese fishing village was located near the Long Wharf while small numbers of Chinese lived or worked in both Santa Monica and Venice. The two ethnic minorities were often viewed differently by White Americans who were often well-disposed towards the Japanese but condescending towards the Chinese. The Japanese village fishermen were an integral economic part of the Santa Monica Bay community."
item_051,"Name the 1979 movie, ranked 168th on IMDBs list of the Top 250 films, based on IMDB’s plot summary: “Brian is born on the original Christmas, in the stable next door. He spends his life being mistaken for a messiah.”",1. Identify the 1979 movie ranked 168th on IMDb's Top 250 list with the plot summary about Brian being mistaken for a messiah.,"Judean People’s Front, The Life of Brian, Biggus Diccus, Life of brian, Monty Python’s Life of Brian, Life of Brian, The Judean People's Front, The People's Front of Judea, It's so funny that they banned it in Norway, Biggus Dickus, Monty Python's Life of Brian, Incontinentia Buttocks, Monty python's life of brian, People's Front of Judaea, Brian of Nazareth, Judean Popular People’s Front, Brian Cohen of Nazareth, Judean Popular People's Front, Peoples' Front of Judea, Monty Python's the Life of Brian, Judean People's Front, The Life Of Brian, Blessed are the cheesemakers, The life of brian, Silius Soddus, The PFJ, Bigus Dickus, Popular Front of Judea, Life of Bryan, Monty Python's The Life of Brian, Monty Python s Life of Brian, Life of Brian: Monty Python, Monty Python and the Life of Brian, Life Of Brian, Judaean People's Front, People's Judean Front, People's Front of Judea, Biggus dickus, Brian Cohen",
